"age_category","year","walking_duration","cycling_duration"
">80",5,0.201778385772914,0
"0-10",5,8.01284796573876,1.29326228773467
"10-20",5,27.2687766386361,1.01082824559383
"20-30",5,30.7210758549088,1.67957952112128
"30-40",5,23.9814390711547,1.21884320409033
"40-50",5,18.636650680647,0
"50-60",5,26.1495134918247,6.13200922860869
"60-70",5,11.2180222747216,0
"70-80",5,26.8752050749207,0
">80",6,10.1318923687693,0
"0-10",6,7.01376087238738,0.0402440607555498
"10-20",6,18.8610590839435,0
"20-30",6,18.3185865472677,0
"30-40",6,24.9467905618091,0
"40-50",6,16.3745515227368,0.930607704074538
"50-60",6,23.2209136895353,0
"60-70",6,22.5843402609956,0
"70-80",6,23.7621418722231,0
">80",7,20.6465190962266,0
"0-10",7,6.1192438055166,0
"10-20",7,20.3268591426072,0
"20-30",7,21.9180950961395,0.426665672976599
"30-40",7,24.6683743330658,0.26901647858728
"40-50",7,20.4397518422509,0
"50-60",7,18.0453578016365,0.61296883129168
"60-70",7,12.8089122973133,1.162267723991
"70-80",7,12.3941262190337,0
">80",8,10.5826245443499,0
"0-10",8,5.68301742502868,0.282951876331458
"10-20",8,14.6907062083427,0
"20-30",8,20.0819904779344,0
"30-40",8,18.2079516711279,0.231207485081408
"40-50",8,18.6037283621838,3.02026631158455
"50-60",8,13.0608238222723,0.211356911371002
"60-70",8,16.4881660187514,0
"70-80",8,10.7631440864729,0
">80",9,5.5413964135826,0
"0-10",9,9.23771889043856,0
"10-20",9,20.2219577671381,0.296958459026375
"20-30",9,18.1106316090312,0.790940268648185
"30-40",9,20.109478565488,2.64991557246906
"40-50",9,17.9818402838076,0
"50-60",9,8.7817970665405,1.53813067228698
"60-70",9,12.0036109631208,0
"70-80",9,12.3784401390959,0
">80",10,2.66089778258518,1.31963223363981
"0-10",10,11.1651873541657,0
"10-20",10,33.1898921334722,1.00272186565409
"20-30",10,12.9834237062405,0.911815068493151
"30-40",10,28.9901838021555,1.6539957962524
"40-50",10,17.8213459090383,0.431373683601435
"50-60",10,15.1580183963207,0.520895820835833
"60-70",10,20.6437828202534,0
"70-80",10,7.20705817480011,0
">80",11,3.62361623616236,0
"0-10",11,15.5976337370198,0
"10-20",11,17.0245844875346,1.80747922437673
"20-30",11,25.4802861216263,0
"30-40",11,27.7262040738626,1.51901294498382
"40-50",11,24.3091432302372,0.761734336082025
"50-60",11,14.862584862962,0
"60-70",11,11.4868434791688,17.6835647906443
"70-80",11,19.9358430540827,0
">80",12,4.43301783764106,0
"0-10",12,2.98705485927614,0
"10-20",12,21.6257338273012,0
"20-30",12,42.9269491206621,0
"30-40",12,27.417164145608,0.38888639526011
"40-50",12,19.9192622102649,2.23251241721854
"50-60",12,19.3124513185713,0.250250361633471
"60-70",12,17.4358379439586,0
"70-80",12,14.0810117025293,0
">80",13,7.9360568383659,0
"0-10",13,8.40524212287387,0.654289432103355
"10-20",13,21.7778891324773,0
"20-30",13,27.8107804217628,0.726955643773377
"30-40",13,23.3715654639679,1.39286203187641
"40-50",13,21.2161122750624,1.45538558677496
"50-60",13,20.9187462189958,5.86093466424682
"60-70",13,15.0647046093919,0
"70-80",13,6.83555812107656,0
