"wd16cd","wd16nm","mean_no2","mean_pm25"
"E05000590","Cann Hall",35.8655803881756,15.9792880619981
"E05000591","Cathall",40.5927993329007,16.4497863977867
"E05000592","Chapel End",36.8859232977655,15.9649020949161
"E05000593","Chingford Green",27.8398129633269,14.9835771718083
"E05000594","Endlebury",30.4386238150756,15.2450381322573
"E05000595","Forest",35.5200100874829,15.9307190819514
"E05000596","Grove Green",38.7015968662525,16.2834573806646
"E05000597","Hale End and Highams Park",34.9110241431779,15.7798767399531
"E05000598","Hatch Lane",30.0737173040873,15.2431128776519
"E05000599","High Street",33.5986444410779,15.6956806006806
"E05000600","Higham Hill",33.0699800499431,15.6038688017534
"E05000601","Hoe Street",35.9970740092884,15.9532249457619
"E05000602","Larkswood",31.8029650934055,15.4495850147591
"E05000603","Lea Bridge",35.4730128175277,15.9154274534813
"E05000604","Leyton",37.1196166181986,16.1002108942443
"E05000605","Leytonstone",41.312587300036,16.4951146462178
"E05000606","Markhouse",33.9587328121158,15.8033540886517
"E05000607","Valley",36.7079029848948,15.8641399468154
"E05000608","William Morris",34.8506210423914,15.7773151753018
"E05000609","Wood Street",34.3626609455981,15.7933784673697
